               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094478,            0.027998,            0.025333,             0.51854,             0.40331,             0.25008,            0.069978,            0.068198,            0.016755,           0.0098697,            0.070041,           0.0033288,           0.0033288
                   1,            0.069752,            0.017575,           0.0084747,               0.708,             0.40431,              0.4007,             0.12974,            0.063479,            0.011207,           0.0083782,            0.039909,           0.0065302,           0.0065302
                   2,            0.066311,            0.015131,           0.0080781,             0.59548,             0.45628,             0.32807,              0.1105,            0.066807,            0.010116,           0.0088981,           0.0096454,           0.0095996,           0.0095996
                   3,            0.060292,            0.014502,           0.0078801,             0.82169,             0.55962,             0.56746,             0.20274,            0.056755,           0.0097521,           0.0085439,            0.009406,            0.009406,            0.009406
                   4,            0.054529,            0.013276,           0.0074796,             0.88619,             0.56157,             0.63131,             0.28962,            0.046021,           0.0093809,           0.0074889,            0.009406,            0.009406,            0.009406
                   5,            0.051614,            0.012974,            0.006675,             0.88376,             0.56082,             0.58876,             0.22436,            0.045308,           0.0092466,           0.0067724,            0.009208,            0.009208,            0.009208
                   6,            0.049134,            0.012637,           0.0067127,             0.91424,             0.59646,             0.63478,             0.26442,            0.042344,           0.0089286,           0.0057979,             0.00901,             0.00901,             0.00901
                   7,            0.047438,            0.012611,           0.0059193,             0.93888,             0.60025,             0.67855,             0.32702,            0.041864,           0.0087763,            0.005133,            0.008812,            0.008812,            0.008812
                   8,            0.046038,            0.012479,           0.0051837,             0.60702,             0.78627,             0.79417,             0.31092,            0.045004,           0.0089814,           0.0039589,            0.008614,            0.008614,            0.008614
                   9,            0.045119,            0.012006,           0.0044318,             0.85421,              0.8432,             0.88071,             0.40504,            0.039584,           0.0083871,           0.0026357,            0.008416,            0.008416,            0.008416
                  10,            0.044979,            0.012251,            0.003671,             0.81166,             0.86399,             0.86903,             0.40648,            0.039359,           0.0084516,           0.0023995,            0.008218,            0.008218,            0.008218
                  11,             0.04336,            0.012009,           0.0027892,             0.81235,             0.86323,             0.84392,              0.4012,            0.038975,           0.0083069,           0.0022955,             0.00802,             0.00802,             0.00802
                  12,              0.0433,            0.012463,           0.0032425,              0.8851,             0.86547,             0.90778,             0.40855,            0.039394,           0.0084502,           0.0024938,            0.007822,            0.007822,            0.007822
                  13,            0.042122,             0.01161,           0.0024081,              0.8822,             0.87789,             0.89978,             0.44447,            0.038403,           0.0082047,           0.0022132,            0.007624,            0.007624,            0.007624
                  14,            0.041724,            0.012212,           0.0023161,             0.91283,             0.86654,             0.93013,              0.4526,            0.037436,           0.0081238,           0.0023082,            0.007426,            0.007426,            0.007426
                  15,            0.040505,            0.011718,           0.0021316,             0.90151,             0.91117,             0.93424,             0.43157,            0.038496,           0.0082159,           0.0016783,            0.007228,            0.007228,            0.007228
                  16,            0.040111,            0.011816,           0.0021768,             0.89493,             0.84541,             0.91607,             0.44646,              0.0368,           0.0080319,           0.0017931,             0.00703,             0.00703,             0.00703
                  17,            0.040705,             0.01195,           0.0015532,             0.89018,             0.87863,             0.92365,             0.44448,            0.037724,           0.0083079,           0.0015481,            0.006832,            0.006832,            0.006832
                  18,            0.038913,            0.011534,           0.0019823,             0.80103,              0.9029,             0.85386,              0.4144,            0.038093,           0.0081097,           0.0009607,            0.006634,            0.006634,            0.006634
                  19,            0.039487,            0.011657,           0.0016479,             0.90986,             0.87767,             0.92993,             0.43889,            0.038625,           0.0081245,           0.0013024,            0.006436,            0.006436,            0.006436
                  20,            0.038981,            0.011723,           0.0016937,             0.92398,              0.8821,             0.94786,             0.46653,            0.036431,           0.0079341,           0.0012214,            0.006238,            0.006238,            0.006238
