               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093534,            0.028008,            0.026972,                0.57,             0.28155,             0.26671,            0.081727,            0.073867,            0.017707,            0.012346,            0.070041,           0.0033288,           0.0033288
                   1,             0.06871,            0.017818,            0.009328,             0.68511,             0.43183,             0.43451,             0.15876,            0.060453,            0.012324,           0.0096412,            0.039909,           0.0065302,           0.0065302
                   2,            0.064942,            0.015129,           0.0081505,             0.71882,             0.43429,             0.44252,             0.14031,            0.062509,            0.011349,           0.0093611,           0.0096454,           0.0095996,           0.0095996
                   3,            0.060143,             0.01406,           0.0073876,              0.8057,              0.5363,             0.55681,             0.21823,             0.05285,            0.010488,           0.0085374,            0.009406,            0.009406,            0.009406
                   4,            0.053784,            0.013286,           0.0067338,             0.78413,              0.4923,              0.5089,             0.18039,            0.053434,            0.010092,           0.0073745,            0.009406,            0.009406,            0.009406
                   5,            0.051521,            0.012684,           0.0059294,             0.87692,             0.55926,             0.61681,             0.27213,            0.044645,            0.010068,           0.0072551,            0.009208,            0.009208,            0.009208
                   6,            0.047879,            0.012323,           0.0060567,              0.9057,             0.59428,             0.78142,              0.3033,            0.044259,           0.0099452,           0.0067518,             0.00901,             0.00901,             0.00901
                   7,             0.04732,             0.01249,           0.0051482,             0.73973,             0.86189,             0.93505,             0.42872,            0.040499,           0.0093835,           0.0053372,            0.008812,            0.008812,            0.008812
                   8,            0.045905,            0.012163,           0.0038528,             0.78759,             0.86693,             0.90631,             0.37609,            0.045964,           0.0098668,           0.0038168,            0.008614,            0.008614,            0.008614
                   9,            0.044553,            0.011766,           0.0037725,             0.84778,             0.86521,             0.90644,             0.37504,            0.043426,           0.0094451,            0.002721,            0.008416,            0.008416,            0.008416
                  10,            0.043101,            0.011833,           0.0028587,             0.85913,             0.86605,             0.91618,             0.40817,            0.041295,           0.0092541,           0.0022502,            0.008218,            0.008218,            0.008218
                  11,            0.042984,            0.011803,           0.0026209,             0.90673,              0.9005,              0.9392,             0.41182,              0.0411,           0.0094755,           0.0019028,             0.00802,             0.00802,             0.00802
                  12,            0.043076,             0.01177,           0.0024339,             0.92542,             0.86709,             0.92327,               0.447,            0.039801,           0.0092635,           0.0020826,            0.007822,            0.007822,            0.007822
                  13,            0.041581,            0.011504,           0.0022891,             0.88446,             0.88883,             0.93165,             0.44608,            0.038825,           0.0091095,           0.0016081,            0.007624,            0.007624,            0.007624
                  14,            0.041264,            0.011719,           0.0019064,             0.87488,             0.83856,             0.90521,             0.42107,            0.040051,           0.0090076,           0.0020784,            0.007426,            0.007426,            0.007426
                  15,            0.041518,            0.011679,           0.0024274,             0.87067,             0.91412,             0.93866,             0.40638,            0.039079,           0.0091794,           0.0013812,            0.007228,            0.007228,            0.007228
                  16,            0.039739,             0.01152,           0.0019702,             0.89453,             0.85474,             0.90366,             0.41372,            0.038437,             0.00916,           0.0021887,             0.00703,             0.00703,             0.00703
                  17,             0.03999,            0.011111,           0.0018552,             0.91388,             0.91893,             0.94612,             0.41363,            0.041107,           0.0091493,           0.0012383,            0.006832,            0.006832,            0.006832
                  18,            0.039575,             0.01159,           0.0022759,              0.8734,             0.90636,              0.9532,             0.44311,            0.037694,           0.0091422,           0.0019702,            0.006634,            0.006634,            0.006634
                  19,            0.039275,            0.011407,           0.0020854,             0.89625,             0.88841,             0.93924,             0.44573,            0.037192,            0.009024,           0.0013954,            0.006436,            0.006436,            0.006436
                  20,            0.039015,            0.011389,           0.0016122,             0.83732,             0.91742,             0.92897,             0.44542,            0.036614,           0.0092065,           0.0011892,            0.006238,            0.006238,            0.006238
                  21,            0.038028,            0.011585,           0.0019065,             0.89553,             0.93701,              0.9468,             0.44421,            0.037532,           0.0089835,           0.0011797,             0.00604,             0.00604,             0.00604
                  22,            0.038001,            0.011231,           0.0012044,             0.83541,              0.8484,             0.87389,             0.39765,             0.03845,           0.0090638,          0.00090543,            0.005842,            0.005842,            0.005842
                  23,            0.037926,            0.011297,           0.0013727,             0.93867,             0.92005,             0.94755,             0.44465,             0.03753,           0.0090836,           0.0010591,            0.005644,            0.005644,            0.005644
                  24,            0.038219,             0.01128,           0.0013788,             0.89298,             0.91845,             0.93277,             0.42213,            0.039836,           0.0092194,           0.0012698,            0.005446,            0.005446,            0.005446
                  25,            0.037974,            0.010924,           0.0010893,             0.91354,             0.92041,             0.94685,             0.46275,            0.036388,           0.0089732,           0.0010573,            0.005248,            0.005248,            0.005248
                  26,            0.036847,            0.010848,           0.0013999,             0.91278,             0.89977,              0.9402,             0.43789,            0.036308,           0.0087861,          0.00085234,             0.00505,             0.00505,             0.00505
                  27,            0.036677,            0.011136,           0.0012638,             0.92515,             0.91541,             0.95378,              0.4814,            0.035681,           0.0087234,           0.0008469,            0.004852,            0.004852,            0.004852
                  28,            0.036658,            0.010991,          0.00084357,             0.89796,             0.92307,             0.93907,             0.47026,            0.035514,            0.008804,          0.00065341,            0.004654,            0.004654,            0.004654
                  29,            0.036608,            0.010925,           0.0010585,             0.93625,             0.91121,             0.95348,             0.46772,             0.03629,            0.008739,           0.0008669,            0.004456,            0.004456,            0.004456
                  30,            0.036253,            0.010946,            0.001293,             0.91469,             0.92761,             0.95908,             0.47064,            0.035738,           0.0087473,          0.00087456,            0.004258,            0.004258,            0.004258
                  31,            0.036365,            0.010737,          0.00092129,             0.94277,             0.91745,              0.9584,             0.47968,            0.036356,           0.0087884,          0.00047794,             0.00406,             0.00406,             0.00406
                  32,            0.035465,            0.011081,          0.00084844,             0.90724,             0.93246,             0.95755,             0.45691,            0.036732,           0.0089039,           0.0006584,            0.003862,            0.003862,            0.003862
                  33,            0.036096,              0.0109,          0.00061067,             0.94216,             0.90408,             0.95249,             0.47432,            0.036997,           0.0088418,          0.00057599,            0.003664,            0.003664,            0.003664
                  34,            0.036211,            0.010915,          0.00066918,             0.89783,             0.90773,             0.94639,             0.47295,            0.036219,           0.0088153,          0.00060451,            0.003466,            0.003466,            0.003466
                  35,            0.035284,            0.010752,          0.00066905,             0.92959,             0.91785,             0.95052,             0.48096,            0.035347,           0.0086964,          0.00073798,            0.003268,            0.003268,            0.003268
                  36,            0.035102,            0.010758,          0.00075152,             0.91828,             0.88775,             0.94165,             0.46942,             0.03592,           0.0088168,           0.0011216,             0.00307,             0.00307,             0.00307
                  37,            0.035758,             0.01062,          0.00063457,             0.94735,             0.89722,             0.95599,             0.49342,            0.035393,            0.008665,          0.00058693,            0.002872,            0.002872,            0.002872
                  38,            0.035052,            0.010956,          0.00059097,             0.92223,             0.93207,             0.96022,             0.46349,            0.036219,           0.0088353,          0.00041866,            0.002674,            0.002674,            0.002674
                  39,            0.034225,            0.010366,          0.00048662,             0.94258,             0.93255,             0.96224,             0.48512,            0.035958,           0.0086993,          0.00047148,            0.002476,            0.002476,            0.002476
                  40,            0.034848,            0.010693,          0.00055616,             0.94204,              0.9135,             0.95691,             0.46028,            0.036239,           0.0089093,          0.00063055,            0.002278,            0.002278,            0.002278
                  41,            0.034093,             0.01078,          0.00045299,             0.94142,             0.92594,             0.95844,             0.49002,            0.034931,           0.0086971,          0.00042197,             0.00208,             0.00208,             0.00208
                  42,            0.034185,            0.010469,          0.00052586,             0.93994,             0.93993,             0.95971,             0.49903,            0.035213,           0.0087508,           0.0003816,            0.001882,            0.001882,            0.001882
                  43,            0.034007,            0.010674,          0.00047873,             0.93528,             0.91877,             0.95825,             0.49228,            0.035211,            0.008723,          0.00033719,            0.001684,            0.001684,            0.001684
                  44,            0.033504,            0.010502,          0.00032368,             0.93567,             0.92308,             0.96063,             0.50622,            0.034536,           0.0086419,          0.00026381,            0.001486,            0.001486,            0.001486
                  45,            0.033949,            0.010677,           0.0004439,             0.93521,             0.93546,             0.96405,             0.50817,            0.034263,           0.0086398,          0.00031565,            0.001288,            0.001288,            0.001288
                  46,            0.033874,            0.010531,          0.00040737,             0.93798,             0.94457,             0.96139,             0.48706,            0.034954,            0.008719,          0.00031214,             0.00109,             0.00109,             0.00109
                  47,            0.033271,            0.010653,          0.00032149,             0.92466,             0.93362,             0.95334,             0.49594,            0.035173,           0.0086973,          0.00034225,            0.000892,            0.000892,            0.000892
                  48,            0.033371,            0.010869,          0.00033423,              0.9311,              0.9405,             0.95804,             0.50315,            0.034279,           0.0086735,          0.00034215,            0.000694,            0.000694,            0.000694
                  49,            0.032589,            0.010609,          0.00023925,             0.94568,             0.93683,             0.96142,             0.50864,            0.034448,           0.0085987,           0.0003106,            0.000496,            0.000496,            0.000496
