               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03438,            0.010671,          0.00072387,             0.90139,             0.87805,             0.92499,             0.44936,            0.036946,           0.0089137,          0.00096211,             0.00307,             0.00307,             0.00307
                  37,            0.035186,            0.010638,          0.00054431,             0.87151,             0.88159,             0.91857,             0.43921,            0.037557,           0.0089509,          0.00085594,            0.002872,            0.002872,            0.002872
                  38,            0.034942,            0.011062,           0.0010105,             0.87109,             0.85311,             0.91154,              0.4435,            0.037738,           0.0089738,           0.0014732,            0.002674,            0.002674,            0.002674
                  39,            0.034288,             0.01039,          0.00068601,             0.86589,             0.88147,             0.90743,             0.42371,            0.037866,           0.0089569,           0.0010857,            0.002476,            0.002476,            0.002476
                  40,            0.034713,            0.010756,          0.00071551,             0.88838,             0.84818,             0.91455,             0.44433,            0.037946,           0.0089425,           0.0006555,            0.002278,            0.002278,            0.002278
                  41,            0.034433,             0.01063,          0.00081909,             0.92061,             0.87685,             0.93895,             0.45611,            0.036196,           0.0087095,          0.00078037,             0.00208,             0.00208,             0.00208
                  42,            0.033838,             0.01059,          0.00082003,             0.88434,             0.88431,             0.93352,             0.45267,            0.036351,           0.0087026,          0.00089479,            0.001882,            0.001882,            0.001882
                  43,            0.033397,            0.010658,          0.00060532,             0.88727,             0.88848,             0.92394,             0.45427,            0.037045,           0.0088297,           0.0007647,            0.001684,            0.001684,            0.001684
                  44,             0.03338,            0.010523,          0.00065868,             0.88374,             0.88085,              0.9331,             0.45703,            0.036519,            0.008786,          0.00067193,            0.001486,            0.001486,            0.001486
                  45,            0.033864,            0.010632,          0.00059329,             0.89558,             0.88666,             0.93106,             0.46635,            0.035835,           0.0086481,          0.00098482,            0.001288,            0.001288,            0.001288
                  46,             0.03345,            0.010387,           0.0005234,              0.9022,             0.88039,              0.9375,             0.46582,            0.036574,           0.0087751,           0.0012902,             0.00109,             0.00109,             0.00109
                  47,            0.033551,            0.010947,          0.00067188,             0.87999,             0.87713,             0.91587,             0.44623,             0.03717,           0.0088103,          0.00087751,            0.000892,            0.000892,            0.000892
                  48,            0.033029,            0.010544,          0.00065382,             0.86932,             0.87992,             0.92188,             0.46035,            0.035839,           0.0086499,          0.00088125,            0.000694,            0.000694,            0.000694
                  49,            0.032754,            0.010618,          0.00059151,             0.87578,             0.88068,             0.92166,              0.4619,            0.036199,           0.0086888,          0.00077079,            0.000496,            0.000496,            0.000496
