               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11461,            0.099619,                   0,             0.16342,             0.19264,             0.10867,            0.028275,            0.095102,            0.086144,                   0,            0.070357,           0.0032937,           0.0032937
                   1,             0.09366,             0.11093,                   0,             0.10908,             0.34676,            0.092575,            0.024578,            0.090542,            0.093837,                   0,            0.040226,           0.0064958,           0.0064958
                   2,            0.088482,             0.10335,                   0,             0.24073,             0.34501,             0.21333,            0.058318,            0.091698,            0.060349,                   0,           0.0099627,           0.0095659,           0.0095659
                   3,            0.087397,            0.081894,                   0,             0.31459,             0.57618,             0.33869,             0.11415,             0.07502,            0.067457,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.079237,            0.091816,                   0,             0.37044,             0.56217,             0.37809,             0.11527,            0.070316,            0.064679,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.078154,            0.093066,                   0,             0.51026,             0.64098,             0.57437,              0.2179,            0.060693,            0.064201,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.065897,             0.09572,                   0,             0.19837,             0.68476,             0.19101,            0.095948,            0.065699,            0.064676,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.064399,             0.08651,                   0,             0.47847,             0.59019,             0.53116,             0.17335,            0.061182,            0.064612,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.058832,            0.084854,                   0,             0.52342,             0.68666,             0.60045,             0.23499,            0.046214,            0.060936,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.054024,            0.079697,                   0,              0.7265,             0.70712,              0.7835,             0.38681,            0.043779,            0.060314,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.049582,            0.087542,                   0,              0.5224,             0.72154,             0.61929,             0.27518,            0.041285,            0.061942,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.04881,            0.090451,                   0,             0.72803,             0.79159,              0.8074,             0.46007,            0.038603,            0.056178,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.049819,            0.088259,                   0,             0.62638,             0.72816,             0.76317,             0.40342,            0.044426,            0.057764,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.047898,             0.07836,                   0,             0.73131,             0.74081,             0.80985,             0.46074,            0.038515,            0.057725,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043826,            0.075922,                   0,             0.74567,             0.77933,             0.84678,             0.50716,            0.035378,            0.056323,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.04278,            0.071301,                   0,             0.86313,              0.8504,             0.90376,             0.54506,            0.034357,            0.055717,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.039669,            0.079386,                   0,             0.93992,             0.87678,             0.95292,             0.65896,             0.02928,            0.054563,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.039651,            0.076471,                   0,              0.8692,             0.81261,             0.92089,             0.59778,            0.032938,            0.056361,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.038704,            0.074225,                   0,             0.82481,             0.87403,             0.91393,              0.5416,            0.034477,             0.05568,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039215,            0.074491,                   0,             0.92992,             0.90368,             0.94415,             0.61388,            0.028485,            0.053809,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.038291,            0.079022,                   0,             0.96102,             0.90679,             0.95607,             0.65246,            0.026338,            0.052548,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.036704,            0.080421,                   0,             0.95381,             0.90406,             0.95631,             0.66161,            0.025464,            0.052297,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.036979,            0.079458,                   0,             0.94856,             0.88441,             0.94339,             0.61707,            0.028642,            0.054304,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.034325,            0.070207,                   0,              0.9554,             0.90193,              0.9573,             0.59134,            0.031623,            0.054365,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.035513,            0.068806,                   0,             0.96014,             0.90018,             0.95256,             0.66708,            0.026911,            0.052808,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.033216,            0.068591,                   0,             0.95786,             0.91565,             0.96488,             0.67657,            0.025795,            0.052678,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.032766,            0.081854,                   0,             0.95605,             0.91422,             0.96695,             0.68779,            0.025744,            0.051761,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.031051,            0.066716,                   0,             0.96102,             0.90664,             0.95729,             0.66449,            0.026418,            0.053069,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.032357,            0.076025,                   0,             0.95598,             0.91286,             0.96017,             0.67414,            0.026336,            0.053021,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.033184,            0.070792,                   0,             0.95067,             0.91124,              0.9605,             0.69031,            0.024768,            0.052302,                   0,            0.004456,            0.004456,            0.004456
