               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093886,            0.027808,            0.026611,             0.63951,             0.36833,             0.29366,            0.077706,            0.065365,            0.017243,           0.0088314,            0.070041,           0.0033288,           0.0033288
                   1,            0.068723,            0.017662,           0.0099608,              0.6165,             0.43744,             0.32184,             0.11217,             0.06679,            0.012464,           0.0069011,            0.039909,           0.0065302,           0.0065302
                   2,            0.065314,            0.014975,           0.0087118,             0.71301,             0.42807,             0.42571,              0.1576,            0.062833,            0.010964,           0.0070275,           0.0096454,           0.0095996,           0.0095996
                   3,            0.059667,            0.014096,           0.0079716,             0.88316,             0.54655,             0.60422,             0.24925,            0.050494,            0.010435,           0.0054446,            0.009406,            0.009406,            0.009406
                   4,            0.053311,            0.013054,           0.0073179,             0.82654,             0.49785,             0.52126,             0.19202,            0.054948,              0.0103,           0.0050485,            0.009406,            0.009406,            0.009406
                   5,            0.050839,            0.012546,           0.0068444,             0.88849,             0.55803,             0.64904,             0.23965,            0.048205,            0.010642,            0.004671,            0.009208,            0.009208,            0.009208
                   6,            0.047999,            0.012234,           0.0061393,             0.59423,             0.83813,              0.7582,             0.32872,            0.047692,           0.0098209,            0.004408,             0.00901,             0.00901,             0.00901
                   7,            0.047278,            0.012475,           0.0059012,              0.7632,             0.83408,             0.81662,             0.30879,            0.045573,            0.010123,           0.0037017,            0.008812,            0.008812,            0.008812
                   8,            0.045603,            0.012144,           0.0043338,             0.80384,             0.84822,             0.85382,             0.39569,            0.045663,           0.0098269,            0.003028,            0.008614,            0.008614,            0.008614
                   9,            0.044876,             0.01172,           0.0045778,             0.84987,             0.90469,              0.9066,             0.40018,            0.041332,           0.0095463,            0.002343,            0.008416,            0.008416,            0.008416
                  10,            0.043601,            0.011956,           0.0033102,             0.80599,             0.87538,             0.87527,             0.40128,            0.039945,             0.00922,           0.0024691,            0.008218,            0.008218,            0.008218
                  11,            0.043242,            0.011887,           0.0034545,             0.87178,             0.92214,              0.9382,             0.42237,            0.041105,           0.0094227,           0.0018986,             0.00802,             0.00802,             0.00802
                  12,            0.043458,            0.011964,           0.0031884,             0.88809,             0.92167,             0.94035,             0.43822,            0.040441,           0.0093944,           0.0015346,            0.007822,            0.007822,            0.007822
                  13,            0.041714,            0.011566,           0.0027973,              0.8944,               0.897,             0.93379,             0.39493,            0.041274,           0.0091989,           0.0011992,            0.007624,            0.007624,            0.007624
                  14,             0.04133,            0.011672,           0.0019987,             0.92657,             0.93865,             0.94714,              0.4186,            0.039689,           0.0091683,           0.0012548,            0.007426,            0.007426,            0.007426
                  15,             0.04102,             0.01164,           0.0029525,             0.93207,             0.91685,             0.94676,             0.44749,            0.041111,           0.0095172,           0.0012352,            0.007228,            0.007228,            0.007228
                  16,            0.040203,            0.011801,           0.0035499,             0.88832,             0.86528,             0.91626,             0.43865,            0.039577,           0.0094066,           0.0014659,             0.00703,             0.00703,             0.00703
                  17,            0.040534,            0.011283,           0.0018371,             0.89261,             0.86062,             0.92643,             0.39179,            0.041135,           0.0094079,           0.0012465,            0.006832,            0.006832,            0.006832
                  18,            0.039146,            0.011497,           0.0019531,             0.93013,              0.8905,             0.94584,             0.40582,            0.040582,           0.0091473,           0.0011816,            0.006634,            0.006634,            0.006634
                  19,            0.039302,            0.011341,           0.0020499,             0.91897,             0.86403,             0.93265,             0.43683,            0.039382,           0.0091014,          0.00079602,            0.006436,            0.006436,            0.006436
                  20,            0.039327,            0.011518,           0.0016156,             0.87107,             0.87515,              0.9104,             0.45472,            0.039146,           0.0092276,           0.0018696,            0.006238,            0.006238,            0.006238
                  21,             0.03856,            0.011581,           0.0017807,             0.83371,             0.90469,             0.91254,             0.43696,            0.038152,           0.0090259,           0.0007278,             0.00604,             0.00604,             0.00604
                  22,            0.037338,            0.011102,           0.0016506,              0.8015,             0.83386,             0.84886,             0.35918,            0.040135,           0.0093574,          0.00094734,            0.005842,            0.005842,            0.005842
                  23,            0.037754,             0.01127,           0.0016149,             0.93901,             0.88438,             0.93275,             0.42445,            0.039144,            0.009007,          0.00095212,            0.005644,            0.005644,            0.005644
                  24,            0.038218,             0.01116,           0.0011837,             0.92132,             0.91541,             0.95437,             0.46128,            0.039535,            0.009196,          0.00074873,            0.005446,            0.005446,            0.005446
