               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.025091,            0.060574,                   0,             0.95033,              0.9388,             0.97608,             0.76259,            0.020193,            0.034896,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02776,            0.078544,                   0,             0.95488,             0.94393,             0.97672,             0.77636,            0.019343,            0.034687,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.02487,            0.072848,                   0,             0.95072,             0.95327,             0.97724,             0.77169,             0.01955,            0.035151,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.025935,            0.073261,                   0,             0.95013,             0.94393,             0.97703,               0.774,            0.019296,            0.034698,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.02606,            0.073968,                   0,             0.94257,             0.95862,             0.97784,             0.77157,            0.019403,            0.035052,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025251,            0.072119,                   0,             0.95512,             0.95093,             0.97779,             0.76728,            0.019944,            0.035453,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024751,            0.064695,                   0,             0.93341,             0.95327,             0.97683,             0.77884,            0.019424,            0.034879,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.025805,            0.077817,                   0,             0.94897,             0.95093,             0.97833,             0.77623,            0.019028,            0.034754,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.024641,            0.068179,                   0,             0.95952,             0.94393,              0.9775,             0.77779,            0.019076,            0.034585,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.023463,            0.061206,                   0,              0.9566,             0.94626,             0.97832,             0.77977,            0.019211,            0.034484,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024037,            0.062749,                   0,             0.95737,             0.94439,             0.97848,             0.77815,              0.0192,            0.034446,                   0,            0.000496,            0.000496,            0.000496
