               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11492,            0.098907,                   0,             0.14451,             0.13918,            0.059624,            0.013155,            0.096826,            0.091288,                   0,            0.070357,           0.0032937,           0.0032937
                   1,            0.093672,             0.10297,                   0,             0.12082,             0.25258,            0.088219,            0.020314,            0.090434,            0.087864,                   0,            0.040226,           0.0064958,           0.0064958
                   2,            0.090031,             0.11298,                   0,             0.20664,              0.3299,             0.16094,            0.038797,            0.081265,             0.07532,                   0,           0.0099627,           0.0095659,           0.0095659
                   3,            0.086264,            0.086625,                   0,             0.35229,             0.46392,             0.33335,             0.11266,            0.081281,            0.065565,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.084426,            0.086717,                   0,             0.19925,             0.45406,             0.18503,            0.044058,            0.080522,            0.062315,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.083056,            0.083287,                   0,             0.44985,             0.60825,             0.54185,             0.19853,            0.070082,            0.065676,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.075713,            0.088332,                   0,             0.49417,             0.61437,             0.56828,             0.23032,            0.061556,            0.063662,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.069007,            0.080269,                   0,             0.41686,             0.65636,             0.45594,             0.14727,            0.060505,            0.064471,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.060736,            0.083685,                   0,             0.50494,             0.66667,             0.60171,             0.26221,            0.057074,            0.066851,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.059036,            0.083012,                   0,               0.421,             0.58594,             0.46413,             0.15931,            0.058108,            0.065179,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.057292,            0.085282,                   0,             0.58218,             0.71583,             0.66161,             0.22594,            0.049227,            0.066322,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.052271,            0.090293,                   0,             0.86414,              0.7541,             0.87988,             0.47156,            0.041195,             0.06366,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04916,            0.095731,                   0,             0.70029,             0.81959,             0.81973,              0.4218,            0.040817,             0.06258,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.046833,            0.084919,                   0,             0.84915,             0.86083,             0.92374,             0.55779,            0.035078,            0.061355,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043158,            0.073311,                   0,              0.8375,             0.81271,             0.88903,             0.44543,            0.037443,            0.064012,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.042822,             0.07464,                   0,              0.8999,             0.80323,             0.92757,             0.52754,              0.0362,             0.06368,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.041452,             0.07905,                   0,             0.91264,             0.84369,             0.94017,              0.5668,            0.032702,            0.062415,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.038896,            0.075307,                   0,              0.9271,             0.89592,             0.96168,             0.51231,            0.036739,            0.062468,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.041062,            0.073815,                   0,             0.91472,             0.87801,             0.95184,             0.57179,            0.033489,            0.061009,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.038933,            0.077079,                   0,             0.85804,             0.87285,             0.93445,             0.57811,            0.031597,            0.061281,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.036445,            0.075181,                   0,             0.93509,             0.89104,              0.9632,             0.61937,            0.029896,            0.059611,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.035884,            0.078826,                   0,             0.95513,             0.88316,             0.96232,             0.65825,            0.027143,             0.05805,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.035309,            0.074209,                   0,             0.95017,             0.88461,             0.96119,             0.62879,            0.027874,            0.059952,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033931,            0.069606,                   0,             0.94839,             0.87973,             0.95644,             0.62124,             0.02877,            0.059649,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.034414,            0.072127,                   0,             0.92471,             0.87801,             0.95646,             0.63145,            0.028245,            0.058285,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.034037,            0.069846,                   0,             0.90351,             0.90722,             0.96081,             0.62378,            0.028596,            0.060368,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.033139,            0.074396,                   0,             0.92148,             0.88726,             0.95734,             0.64214,            0.031212,            0.060465,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.031609,            0.071427,                   0,             0.94008,             0.89175,             0.96488,             0.63857,            0.027802,             0.05967,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031576,            0.076995,                   0,             0.93655,             0.89863,             0.96244,             0.64358,            0.027564,            0.058988,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.032346,            0.070835,                   0,             0.92349,             0.91256,             0.96549,             0.65727,            0.024036,            0.057219,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030939,            0.071015,                   0,             0.93033,             0.91924,              0.9669,             0.66226,            0.025082,            0.058329,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.029558,            0.067308,                   0,             0.95136,             0.90743,             0.97108,             0.67996,            0.025286,            0.057406,                   0,             0.00406,             0.00406,             0.00406
