               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097462,            0.027168,            0.025808,              0.5661,             0.36109,             0.27893,            0.085324,            0.074008,            0.014846,            0.010135,            0.070041,           0.0033288,           0.0033288
                   1,            0.070485,            0.017424,            0.008636,             0.58742,             0.41232,             0.28225,            0.089982,            0.062989,            0.011949,           0.0084437,            0.039909,           0.0065302,           0.0065302
                   2,            0.067542,            0.015102,           0.0078836,             0.66345,             0.44803,             0.41748,             0.12639,            0.066037,            0.011525,           0.0083047,           0.0096454,           0.0095996,           0.0095996
                   3,            0.060536,            0.014505,           0.0076211,             0.76804,             0.47423,             0.47852,             0.15321,            0.055454,           0.0099419,           0.0071973,            0.009406,            0.009406,            0.009406
                   4,            0.053808,            0.013255,           0.0072023,             0.89506,             0.57624,             0.61259,             0.28351,            0.043373,           0.0096646,           0.0065801,            0.009406,            0.009406,            0.009406
                   5,            0.051667,             0.01267,           0.0068059,             0.87318,             0.56291,             0.59354,             0.22536,            0.045988,           0.0094969,           0.0062957,            0.009208,            0.009208,            0.009208
                   6,            0.049284,            0.012587,           0.0059196,              0.5461,              0.7968,             0.68712,             0.28411,            0.043911,            0.009568,           0.0060686,             0.00901,             0.00901,             0.00901
                   7,            0.047196,            0.012417,           0.0051327,             0.76682,             0.79933,              0.8066,             0.34266,            0.045757,           0.0093621,           0.0042083,            0.008812,            0.008812,            0.008812
                   8,            0.046452,            0.012381,           0.0038634,             0.78857,             0.85042,             0.83124,             0.37849,            0.043143,            0.009173,           0.0027437,            0.008614,            0.008614,            0.008614
                   9,            0.045344,            0.011903,           0.0032907,             0.83049,             0.76821,             0.81072,             0.35877,            0.044927,           0.0090233,           0.0022959,            0.008416,            0.008416,            0.008416
