               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030253,             0.07954,          0.00097328,             0.95027,             0.92543,             0.97232,              0.7353,            0.023091,            0.043276,          0.00086606,             0.00307,             0.00307,             0.00307
                  37,            0.027984,            0.064717,          0.00092116,             0.95121,             0.93196,             0.97108,             0.73874,            0.020295,            0.041972,           0.0008806,            0.002872,            0.002872,            0.002872
                  38,              0.0285,            0.071296,          0.00093505,             0.94509,              0.9369,             0.97482,             0.73545,            0.021436,            0.041493,          0.00084926,            0.002674,            0.002674,            0.002674
                  39,            0.026674,            0.062737,            0.000885,             0.94891,             0.93308,             0.97654,             0.73192,            0.021661,            0.041407,          0.00081014,            0.002476,            0.002476,            0.002476
                  40,            0.028919,            0.076229,          0.00085461,             0.96237,              0.9291,             0.97294,             0.74463,            0.020575,            0.041342,          0.00076918,            0.002278,            0.002278,            0.002278
                  41,            0.026442,            0.068889,          0.00083896,             0.95694,             0.93493,             0.97265,             0.74933,              0.0202,            0.040964,          0.00074984,             0.00208,             0.00208,             0.00208
                  42,             0.02638,            0.070664,          0.00082475,             0.95487,             0.93056,             0.97469,             0.74622,            0.020187,            0.040803,           0.0007431,            0.001882,            0.001882,            0.001882
                  43,            0.027556,             0.07613,          0.00079481,             0.95384,             0.93308,             0.97632,             0.75547,             0.01971,            0.040343,          0.00069501,            0.001684,            0.001684,            0.001684
                  44,            0.026482,            0.071899,          0.00078195,             0.95276,             0.93117,             0.97241,             0.74317,            0.020175,            0.040951,          0.00067972,            0.001486,            0.001486,            0.001486
                  45,            0.025084,            0.066889,          0.00074725,             0.95843,             0.93499,             0.97796,             0.75089,            0.019963,            0.040976,          0.00066709,            0.001288,            0.001288,            0.001288
                  46,            0.025165,            0.070732,          0.00072948,             0.95702,             0.93663,             0.97682,             0.75819,            0.019451,            0.040353,          0.00065593,             0.00109,             0.00109,             0.00109
                  47,            0.024607,            0.062715,          0.00071868,             0.95821,             0.93308,             0.97388,             0.75179,            0.019633,            0.040769,          0.00065588,            0.000892,            0.000892,            0.000892
                  48,            0.024712,            0.061491,          0.00070854,             0.95675,             0.92925,             0.97479,             0.74914,            0.018977,            0.040507,          0.00064915,            0.000694,            0.000694,            0.000694
                  49,            0.024561,            0.061256,           0.0007224,             0.96038,             0.92543,              0.9759,             0.75267,            0.019281,            0.040187,          0.00063733,            0.000496,            0.000496,            0.000496
