               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11475,             0.10288,                   0,             0.14391,              0.1734,            0.089361,             0.02058,            0.093911,            0.089295,                   0,            0.070357,           0.0032937,           0.0032937
                   1,            0.093322,             0.10199,                   0,             0.14747,             0.33838,             0.10272,             0.02873,            0.082251,            0.098916,                   0,            0.040226,           0.0064958,           0.0064958
                   2,            0.087866,              0.1111,                   0,             0.15996,             0.37205,             0.13621,            0.033974,            0.084277,            0.068959,                   0,           0.0099627,           0.0095659,           0.0095659
                   3,             0.09098,             0.09357,                   0,             0.35499,             0.34007,             0.28202,            0.080182,            0.074379,            0.067542,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.079416,            0.087908,                   0,             0.40561,             0.57407,             0.41392,             0.12965,            0.077931,            0.065465,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.078779,            0.089611,                   0,             0.53216,             0.52357,             0.54898,             0.17811,             0.06626,             0.06436,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.07342,            0.098783,                   0,             0.38191,             0.57419,             0.36037,             0.14919,            0.057338,              0.0637,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.062622,            0.082858,                   0,             0.39387,             0.56558,              0.4128,             0.18421,            0.050985,            0.064905,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.059665,            0.087389,                   0,             0.52012,             0.63636,             0.60381,             0.29085,            0.047831,            0.062405,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.054804,            0.079981,                   0,             0.45149,             0.61526,             0.54788,             0.18505,             0.04977,            0.063588,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.054249,            0.096089,                   0,             0.63098,             0.70202,             0.69894,             0.34281,            0.047212,            0.062509,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.052292,             0.10143,                   0,             0.74246,             0.72054,             0.82774,             0.40089,            0.036619,            0.059648,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.046526,            0.086322,                   0,             0.74003,             0.79125,             0.84319,             0.40553,            0.039895,            0.059712,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.046969,            0.076787,                   0,             0.87549,             0.84175,             0.91641,             0.49735,            0.035157,            0.058554,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.044425,            0.074719,                   0,             0.84244,             0.85354,             0.90188,              0.4349,            0.033706,            0.058156,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043372,            0.079431,                   0,              0.8571,             0.85185,             0.91277,             0.48273,            0.035342,            0.058266,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.044667,             0.08316,                   0,             0.85433,             0.79798,             0.91152,             0.53768,            0.029864,            0.057402,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.038189,            0.073212,                   0,              0.7061,             0.79125,             0.82496,             0.45366,             0.03664,            0.057652,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.040903,            0.072659,                   0,             0.76372,             0.84175,             0.84505,             0.41924,            0.037551,            0.057456,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039559,            0.083611,                   0,             0.95431,              0.8791,             0.95352,             0.58879,            0.030196,            0.056075,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.037198,            0.074607,                   0,             0.94287,             0.88913,             0.95427,             0.58493,             0.02923,            0.055857,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.037856,            0.075047,                   0,             0.96343,             0.88714,             0.96224,             0.62593,            0.025091,            0.054571,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.033895,            0.069951,                   0,             0.95422,             0.87734,             0.95394,             0.60198,            0.026436,            0.056053,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.03403,            0.071346,                   0,             0.95974,             0.88721,             0.96262,             0.63308,            0.025375,            0.054356,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.032516,            0.072913,                   0,             0.94361,             0.86195,             0.95399,             0.62638,            0.025633,             0.05547,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.032157,            0.070456,                   0,             0.95273,             0.88228,              0.9569,              0.6417,            0.025223,            0.054068,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.032316,            0.074985,                   0,             0.95818,             0.88711,             0.96533,             0.65452,            0.025971,            0.053188,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.031103,            0.068994,                   0,             0.97053,              0.8872,             0.96118,             0.66556,            0.024462,            0.053867,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031367,            0.071256,                   0,             0.95357,             0.90236,             0.96198,             0.66399,            0.024315,            0.053089,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.030438,             0.06531,                   0,             0.96242,             0.88721,             0.95886,             0.67249,             0.02385,            0.053369,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.029806,             0.07276,                   0,              0.9741,             0.88889,             0.96268,             0.67532,            0.025165,            0.053578,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.029073,            0.061555,                   0,             0.96021,              0.8937,             0.96626,             0.65353,            0.024762,            0.054295,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.029619,            0.065537,                   0,             0.95445,             0.90741,             0.97041,             0.69097,            0.021136,            0.051482,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.027587,             0.07034,                   0,             0.95919,             0.90067,             0.96912,             0.70311,            0.021401,            0.051864,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.027247,            0.063129,                   0,             0.95874,             0.90236,             0.96459,             0.67604,             0.02187,             0.05258,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.026276,             0.06753,                   0,             0.95407,              0.9093,             0.96998,             0.69377,            0.023371,            0.053034,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.02841,            0.067333,                   0,             0.94338,             0.90236,             0.96588,             0.67395,             0.02338,            0.053854,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.028139,            0.067302,                   0,             0.94065,             0.90719,             0.97107,              0.6945,            0.021494,            0.052332,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.025908,            0.067225,                   0,             0.96019,             0.89899,             0.97058,              0.6998,            0.021953,            0.051695,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.024702,            0.056505,                   0,             0.96072,             0.90583,             0.96889,             0.69831,             0.02141,            0.052051,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025465,             0.07085,                   0,             0.95948,             0.91246,             0.97096,             0.70692,            0.019982,            0.050998,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025169,            0.065596,                   0,             0.96095,             0.91146,             0.97549,             0.70483,             0.02082,            0.050991,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.024971,             0.06296,                   0,             0.96466,             0.91899,             0.97394,             0.70774,            0.020081,             0.05051,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.024635,            0.060509,                   0,             0.96158,             0.91414,             0.97739,              0.7076,             0.02006,             0.05063,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.024128,            0.061812,                   0,             0.96609,             0.91135,              0.9748,             0.71449,            0.019395,             0.05061,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024636,            0.061896,                   0,             0.96767,             0.90714,             0.97658,             0.71371,            0.019597,            0.050675,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.024661,            0.072641,                   0,             0.96008,             0.91246,             0.97336,             0.71296,             0.01942,            0.050074,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.024181,            0.061582,                   0,             0.96559,             0.90572,             0.96973,             0.71499,            0.019372,            0.050451,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.02428,            0.070131,                   0,             0.96051,             0.89899,             0.96945,             0.71294,            0.019402,            0.050678,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.023882,            0.063677,                   0,             0.96581,             0.90354,             0.97303,             0.71566,            0.019297,            0.050388,                   0,            0.000496,            0.000496,            0.000496
